Timestamp,ECG Value,LO+ Status,LO- Status
1.6341328620910645,363.0,0.0,0.0
1.7418746948242188,355.0,0.0,0.0
1.836294412612915,344.0,0.0,0.0
1.9308722019195557,342.0,0.0,0.0
2.009010076522827,340.0,0.0,0.0
2.087620496749878,343.0,0.0,0.0
2.1657567024230957,345.0,0.0,0.0
2.259726047515869,347.0,0.0,0.0
2.3378992080688477,346.0,0.0,0.0
2.4160821437835693,349.0,0.0,0.0
2.49420428276062,349.0,0.0,0.0
2.58884596824646,352.0,0.0,0.0
2.698700428009033,351.0,0.0,0.0
2.792451858520508,351.0,0.0,0.0
2.8709115982055664,347.0,0.0,0.0
2.950416326522827,343.0,0.0,0.0
3.0359790325164795,339.0,0.0,0.0
3.107693910598755,335.0,0.0,0.0
3.202641725540161,330.0,0.0,0.0
3.2965569496154785,326.0,0.0,0.0
3.4073455333709717,321.0,0.0,0.0
3.5014281272888184,313.0,0.0,0.0
3.5868725776672363,304.0,0.0,0.0
3.679025173187256,292.0,0.0,0.0
3.7682793140411377,288.0,0.0,0.0
3.8464787006378174,283.0,0.0,0.0
3.9250433444976807,281.0,0.0,0.0
4.003044366836548,274.0,0.0,0.0
4.08319878578186,274.0,0.0,0.0
4.144122362136841,270.0,0.0,0.0
4.2227044105529785,268.0,0.0,0.0
4.301561594009399,268.0,0.0,0.0
4.379115581512451,257.0,0.0,0.0
4.457290887832642,257.0,0.0,0.0
4.535427093505859,250.0,0.0,0.0
4.61458945274353,317.0,0.0,0.0
4.708817005157471,362.0,0.0,0.0
4.7869343757629395,235.0,0.0,0.0
4.8815813064575195,235.0,0.0,0.0
4.975171327590942,238.0,0.0,0.0
5.06888484954834,242.0,0.0,0.0
5.163078546524048,245.0,0.0,0.0
5.241205215454102,251.0,0.0,0.0
5.334986686706543,266.0,0.0,0.0
5.428714275360107,283.0,0.0,0.0
5.522457122802734,286.0,0.0,0.0
5.616565227508545,272.0,0.0,0.0
5.7107994556427,265.0,0.0,0.0
5.804531097412109,264.0,0.0,0.0
5.88308310508728,263.0,0.0,0.0
5.961252927780151,267.0,0.0,0.0
6.039442300796509,272.0,0.0,0.0
6.132669925689697,276.0,0.0,0.0
6.211272716522217,278.0,0.0,0.0
6.289485454559326,284.0,0.0,0.0
6.367608308792114,285.0,0.0,0.0
6.461273431777954,288.0,0.0,0.0
6.539429426193237,294.0,0.0,0.0
6.618466854095459,296.0,0.0,0.0
6.69711446762085,301.0,0.0,0.0
6.790838003158569,305.0,0.0,0.0
6.876161098480225,309.0,0.0,0.0
6.963403224945068,313.0,0.0,0.0
7.041410207748413,316.0,0.0,0.0
7.120240926742554,322.0,0.0,0.0
7.214066505432129,329.0,0.0,0.0
7.292086362838745,332.0,0.0,0.0
7.385864496231079,334.0,0.0,0.0
7.464052677154541,341.0,0.0,0.0
7.542169570922852,343.0,0.0,0.0
