Timestamp,ECG Value,LO+ Status,LO- Status,ECG_Clean,Time,R_Peak,Q_Peak,S_Peak,T_Peak,P_Peak,P-R Interval,Q-T Interval,S-T Interval
6.790838003158569,305.0,0.0,0.0,304.87964640303727,0.24,0,0,0,0,0,,,
6.876161098480225,309.0,0.0,0.0,308.6244309462507,0.244,0,0,0,0,0,,,
6.963403224945068,313.0,0.0,0.0,312.5786430637603,0.248,0,0,0,0,0,,,
7.041410207748413,316.0,0.0,0.0,317.13886918680805,0.252,0,0,0,0,0,,,
7.120240926742554,322.0,0.0,0.0,322.3504754144147,0.256,0,1,0,0,0,,,
7.214066505432129,329.0,0.0,0.0,327.7247108122674,0.26,0,0,0,0,0,,,
7.292086362838745,332.0,0.0,0.0,332.4535739150994,0.264,0,0,0,0,0,,,
7.385864496231079,334.0,0.0,0.0,335.9455451382277,0.268,0,0,0,0,0,,,
7.464052677154541,341.0,0.0,0.0,338.3749204080398,0.272,0,0,0,0,0,,,
7.542169570922852,343.0,0.0,0.0,340.8107939575752,0.276,0,0,0,0,0,,,
7.636819839477539,343.0,0.0,0.0,344.5061087833999,0.28,0,0,0,0,0,,,
7.715397357940674,347.0,0.0,0.0,349.4609269716613,0.284,0,0,0,0,0,,,
7.793490648269653,350.0,0.0,0.0,353.452405949779,0.288,0,0,0,0,0,,,
7.887684106826782,350.0,0.0,0.0,353.2190233762059,0.292,0,0,0,0,0,,,
7.9658122062683105,359.0,0.0,0.0,348.029733173656,0.296,0,0,0,0,0,,,
8.05955958366394,351.0,0.0,0.0,342.833408928704,0.3,0,0,0,0,0,,,
8.153914451599121,353.0,0.0,0.0,346.4921087053339,0.304,0,0,0,0,0,,,
8.232006311416626,353.0,0.0,0.0,363.8289973275895,0.308,0,0,0,0,0,,,
8.326277017593384,281.0,0.0,0.0,387.8631880980784,0.312,0,0,0,0,0,,,
8.420027256011963,572.0,0.0,0.0,402.2900990936303,0.316,1,0,0,0,1,0.316,0.14800000000000002,0.07200000000000001
8.498148441314697,349.0,0.0,0.0,395.11979949695416,0.32,0,0,0,0,0,,,
8.59177279472351,335.0,0.0,0.0,370.0610912697846,0.324,0,0,0,0,0,,,
8.670952320098877,338.0,0.0,0.0,343.06113833392124,0.328,0,0,0,0,0,,,
8.76512336730957,341.0,0.0,0.0,328.5970743335079,0.332,0,0,1,0,0,,,
8.858873844146729,340.0,0.0,0.0,330.38486508791965,0.336,0,0,0,0,0,,,
8.938916683197021,342.0,0.0,0.0,342.7370312895359,0.34,0,0,0,0,0,,,
9.0326828956604,349.0,0.0,0.0,357.04978961450405,0.344,0,0,0,0,0,,,
9.111377477645874,365.0,0.0,0.0,366.6948558553803,0.348,0,0,0,0,0,,,
9.205098628997805,378.0,0.0,0.0,368.8329377255458,0.352,0,0,0,0,0,,,
9.298847198486328,364.0,0.0,0.0,364.4462948406458,0.356,0,0,0,0,0,,,
9.376971006393433,351.0,0.0,0.0,357.1424965852713,0.36,0,0,0,0,0,,,
9.470722436904907,351.0,0.0,0.0,350.8735478851451,0.364,0,0,0,0,0,,,
9.564876556396484,348.0,0.0,0.0,347.7937310733803,0.368,0,0,0,0,0,,,
9.64344334602356,351.0,0.0,0.0,347.76295591724613,0.372,0,0,0,0,0,,,
9.737688779830933,350.0,0.0,0.0,349.4952278993389,0.376,0,0,0,0,0,,,
9.831462860107422,350.0,0.0,0.0,351.9194581242333,0.38,0,0,0,0,0,,,
9.909918785095217,353.0,0.0,0.0,354.60000953137967,0.384,0,0,0,0,0,,,
10.00358247756958,359.0,0.0,0.0,357.3614587682969,0.388,0,0,0,0,0,,,
10.088246822357178,361.0,0.0,0.0,359.92243850517127,0.392,0,0,0,0,0,,,
10.1607403755188,360.0,0.0,0.0,361.9203876410351,0.396,0,0,0,0,0,,,
10.254250288009644,364.0,0.0,0.0,363.1099931839425,0.4,0,0,0,0,0,,,
10.332375288009644,364.0,0.0,0.0,363.4585499352499,0.404,0,0,0,1,0,,,
10.410532236099243,362.0,0.0,0.0,363.09633694631816,0.408,0,0,0,0,0,,,
10.50428295135498,363.0,0.0,0.0,362.1978239154205,0.412,0,0,0,0,0,,,
10.582942724227903,360.0,0.0,0.0,360.8828465455898,0.416,0,0,0,0,0,,,
10.661540031433104,360.0,0.0,0.0,359.218668856206,0.42,0,0,0,0,0,,,
10.74044632911682,357.0,0.0,0.0,357.3232667567799,0.424,0,0,0,0,0,,,
10.818575143814089,356.0,0.0,0.0,355.44935333239323,0.428,0,0,0,0,0,,,
10.905117511749268,354.0,0.0,0.0,353.90240592220016,0.432,0,0,0,0,0,,,
10.976136684417725,352.0,0.0,0.0,352.78608756839697,0.436,0,0,0,0,0,,,
11.069910526275637,351.0,0.0,0.0,351.8037738997787,0.44,0,0,0,0,0,,,
11.148241758346558,350.0,0.0,0.0,350.4503034056133,0.444,0,0,0,0,0,,,
11.226360321044922,351.0,0.0,0.0,348.6461318775212,0.448,0,0,0,0,0,,,
11.305060625076294,349.0,0.0,0.0,347.25704633400454,0.452,0,0,0,0,0,,,
11.398786306381226,348.0,0.0,0.0,347.6217229094536,0.456,0,0,0,0,0,,,
11.476938009262083,347.0,0.0,0.0,349.90633037742646,0.46,0,0,0,0,0,,,
11.557604312896729,344.0,0.0,0.0,351.6750419297888,0.464,0,0,0,0,0,,,
11.634242296218872,347.0,0.0,0.0,348.9865962885855,0.468,0,0,0,0,0,,,
11.728522539138794,354.0,0.0,0.0,340.7028555128815,0.472,0,0,0,0,0,,,
11.806649923324583,345.0,0.0,0.0,332.67536777682136,0.476,0,1,0,0,0,,,
11.900909185409546,341.0,0.0,0.0,335.9031767715562,0.48,0,0,0,0,0,,,
11.97910737991333,342.0,0.0,0.0,356.679534367046,0.484,0,0,0,0,0,,,
12.05725884437561,267.0,0.0,0.0,386.5710506472489,0.488,0,0,0,0,0,,,
12.13596534729004,590.0,0.0,0.0,404.9977009926142,0.492,1,0,0,0,1,0.176,0.15200000000000002,0.11599999999999999
12.230137825012209,359.0,0.0,0.0,396.0735858536471,0.496,0,0,0,0,0,,,
12.323995113372805,318.0,0.0,0.0,363.4247413016056,0.5,0,0,0,0,0,,,
12.402160167694092,318.0,0.0,0.0,326.80412623825134,0.504,0,0,0,0,0,,,
12.495784044265749,317.0,0.0,0.0,305.0969595199458,0.508,0,0,0,0,0,,,
12.575420141220093,317.0,0.0,0.0,303.84886651520696,0.512,0,0,1,0,0,,,
12.654125452041626,317.0,0.0,0.0,316.26439251931555,0.516,0,0,0,0,0,,,
12.748433113098145,324.0,0.0,0.0,331.5669265023461,0.52,0,0,0,0,0,,,
12.84250545501709,338.0,0.0,0.0,341.6870009917391,0.524,0,0,0,0,0,,,
12.921639919281006,351.0,0.0,0.0,343.48277587494533,0.528,0,0,0,0,0,,,
13.015713691711426,340.0,0.0,0.0,338.2048092356116,0.532,0,0,0,0,0,,,
13.094343185424805,324.0,0.0,0.0,329.7402729253432,0.536,0,0,0,0,0,,,
13.188112020492554,321.0,0.0,0.0,322.17061249997784,0.54,0,0,0,0,0,,,
13.266731262207031,318.0,0.0,0.0,317.6578738143069,0.544,0,0,0,0,0,,,
13.344865083694458,320.0,0.0,0.0,315.9762908739812,0.548,0,0,0,0,0,,,
